date,dV
01/01/08,8.54
01/02/08,7.83
01/03/08,7.31
01/04/08,7.04
01/05/08,9.87
01/06/08,25.1
01/07/08,31.6
01/08/08,24.8
01/09/08,21.1
01/10/08,20.6
01/11/08,18.8
01/12/08,17.8
01/13/08,15.3
01/14/08,14.6
01/15/08,14.1
01/16/08,14.6
01/17/08,13.8
01/18/08,18.6
01/19/08,16.3
01/20/08,14
01/21/08,13
01/22/08,22.1
01/23/08,18.1
01/24/08,16.3
01/25/08,15.8
01/26/08,13.8
01/27/08,13.1
01/28/08,12.4
01/29/08,11.6
01/30/08,11.2
01/31/08,10.4
02/01/08,14.4
02/02/08,20.1
02/03/08,14.1
02/04/08,13.6
02/05/08,14.7
02/06/08,23.2
02/07/08,21.3
02/08/08,17.8
02/09/08,16.8
02/10/08,14.8
02/11/08,14.2
02/12/08,13.2
02/13/08,12.4
02/14/08,11.3
02/15/08,10.9
02/16/08,10.1
02/17/08,9.51
02/18/08,9.15
02/19/08,8.92
02/20/08,9.59
02/21/08,10.5
02/22/08,9.64
02/23/08,9.15
02/24/08,8.63
02/25/08,8.39
02/26/08,8.41
02/27/08,10.6
02/28/08,8.44
02/29/08,9.46
03/01/08,24.3
03/02/08,18.5
03/03/08,19.3
03/04/08,24.3
03/05/08,21.1
03/06/08,17.6
03/07/08,16.9
03/08/08,16.5
03/09/08,15.4
03/10/08,14.8
03/11/08,15.9
03/12/08,29.3
03/13/08,26.9
03/14/08,26.6
03/15/08,25.3
03/16/08,25
03/17/08,27.1
03/18/08,24.8
03/19/08,22.2
03/20/08,21.1
03/21/08,33.5
03/22/08,34.1
03/23/08,28.5
03/24/08,23.6
03/25/08,22.6
03/26/08,21.8
03/27/08,23
03/28/08,23.5
03/29/08,26.5
03/30/08,26.4
03/31/08,28.4
04/01/08,26.5
04/02/08,25.2
04/03/08,23.6
04/04/08,22.3
04/05/08,21.7
04/06/08,22.6
04/07/08,22.4
04/08/08,19.4
04/09/08,28.9
04/10/08,37.7
04/11/08,42.7
04/12/08,45.7
04/13/08,39.1
04/14/08,38.1
04/15/08,40.1
04/16/08,38.4
04/17/08,32.6
04/18/08,30.4
04/19/08,29
04/20/08,25.9
04/21/08,25.4
04/22/08,51
04/23/08,65.1
04/24/08,60.2
04/25/08,47.5
04/26/08,40.5
04/27/08,35
04/28/08,30.8
04/29/08,27.9
04/30/08,24.8
05/01/08,21.9
05/02/08,19.4
05/03/08,17.6
05/04/08,16.1
05/05/08,14.6
05/06/08,13.5
05/07/08,12.5
05/08/08,11.8
05/09/08,11.1
05/10/08,10.3
05/11/08,9.6
05/12/08,9.12
05/13/08,8.62
05/14/08,8.19
05/15/08,7.84
05/16/08,7.95
05/17/08,8.18
05/18/08,8.42
05/19/08,8.55
05/20/08,7.11
05/21/08,6.78
05/22/08,6.62
05/23/08,6.48
05/24/08,6.41
05/25/08,9.6
05/26/08,6.76
05/27/08,6.27
05/28/08,5.81
05/29/08,5.51
05/30/08,10.7
05/31/08,34.6
06/01/08,17.5
06/02/08,11.6
06/03/08,9.31
06/04/08,8.04
06/05/08,12.6
06/06/08,10.8
06/07/08,9.57
06/08/08,8.67
06/09/08,7.66
06/10/08,7.86
06/11/08,7.49
06/12/08,6.82
06/13/08,8.63
06/14/08,6.49
06/15/08,6.33
06/16/08,6.83
06/17/08,6.71
06/18/08,6.39
06/19/08,5.6
06/20/08,5.19
06/21/08,4.99
06/22/08,4.85
06/23/08,7.64
06/24/08,15.2
06/25/08,16.9
06/26/08,12.7
06/27/08,8.16
06/28/08,6.6
06/29/08,6.07
06/30/08,5.55
07/01/08,5.17
07/02/08,5.76
07/03/08,6.48
07/04/08,6.29
07/05/08,4.78
07/06/08,4.89
07/07/08,5.21
07/08/08,4.71
07/09/08,5.39
07/10/08,4.59
07/11/08,4.82
07/12/08,4.77
07/13/08,4.44
07/14/08,4.83
07/15/08,4.41
07/16/08,4.03
07/17/08,4.05
07/18/08,4.1
07/19/08,3.88
07/20/08,3.89
07/21/08,3.66
07/22/08,3.53
07/23/08,3.59
07/24/08,3.44
07/25/08,3.37
07/26/08,3.26
07/27/08,3.27
07/28/08,3.73
07/29/08,4.03
07/30/08,5.77
07/31/08,5.11
08/01/08,4.2
08/02/08,3.99
08/03/08,3.62
08/04/08,4.64
08/05/08,5.13
08/06/08,3.8
08/07/08,3.32
08/08/08,4.4
08/09/08,5.51
08/10/08,3.72
08/11/08,3.74
08/12/08,19.6
08/13/08,18.2
08/14/08,8.42
08/15/08,8.77
08/16/08,7.05
08/17/08,5.7
08/18/08,5.46
08/19/08,6.09
08/20/08,7.3
08/21/08,5.35
08/22/08,4.86
08/23/08,6.88
08/24/08,6.34
08/25/08,5.02
08/26/08,4.72
08/27/08,4.38
08/28/08,4.24
08/29/08,4.11
08/30/08,3.9
08/31/08,3.88
09/01/08,5
09/02/08,4.16
09/03/08,5.75
09/04/08,10.4
09/05/08,6.86
09/06/08,11.2
09/07/08,10.4
09/08/08,7.28
09/09/08,5.98
09/10/08,5.39
09/11/08,5.21
09/12/08,14.2
09/13/08,41.5
09/14/08,46.4
09/15/08,25.2
09/16/08,18.6
09/17/08,14.7
09/18/08,12.4
09/19/08,10.8
09/20/08,9.35
09/21/08,8.06
09/22/08,7.32
09/23/08,7.05
09/24/08,6.51
09/25/08,6.09
09/26/08,5.71
09/27/08,5.27
09/28/08,5.01
09/29/08,4.88
09/30/08,4.88
10/01/08,6.24
10/02/08,7.83
10/03/08,7.69
10/04/08,8.4
10/05/08,7.62
10/06/08,6.55
10/07/08,6.71
10/08/08,6.23
10/09/08,6.22
10/10/08,5.87
10/11/08,5.53
10/12/08,5.24
10/13/08,5.11
10/14/08,5.03
10/15/08,4.94
10/16/08,11.7
10/17/08,10.6
10/18/08,6.9
10/19/08,6.13
10/20/08,5.97
10/21/08,8.02
10/22/08,20.9
10/23/08,18.4
10/24/08,12.9
10/25/08,11.4
10/26/08,10.1
10/27/08,12.1
10/28/08,15.1
10/29/08,15.1
10/30/08,22.3
10/31/08,18.4
11/01/08,21.3
11/02/08,17.4
11/03/08,16
11/04/08,15.3
11/05/08,13.7
11/06/08,12.7
11/07/08,11.6
11/08/08,10.5
11/09/08,9.63
11/10/08,9.68
11/11/08,9.71
11/12/08,9.21
11/13/08,8.06
11/14/08,7.51
11/15/08,7.15
11/16/08,7.16
11/17/08,8.14
11/18/08,7.14
11/19/08,7.09
11/20/08,6.74
11/21/08,16.7
11/22/08,16.8
11/23/08,13
11/24/08,14.3
11/25/08,13.7
11/26/08,12
11/27/08,11.1
11/28/08,10.4
11/29/08,10.2
11/30/08,10.3
12/01/08,9.85
12/02/08,10.7
12/03/08,9.95
12/04/08,11
12/05/08,19
12/06/08,25.7
12/07/08,27.2
12/08/08,23
12/09/08,20.8
12/10/08,20.2
12/11/08,17.9
12/12/08,15.7
12/13/08,14.2
12/14/08,13.4
12/15/08,12.3
12/16/08,11.3
12/17/08,10.6
12/18/08,10.2
12/19/08,12.5
12/20/08,15.6
12/21/08,30.9
12/22/08,27.6
12/23/08,25.9
12/24/08,23.7
12/25/08,21.7
12/26/08,19.4
12/27/08,17.5
12/28/08,15.9
12/29/08,14.6
12/30/08,13.5
12/31/08,14
