date,dV
01/01/11,23.5
01/02/11,21.6
01/03/11,19.9
01/04/11,17.9
01/05/11,17
01/06/11,24.8
01/07/11,45.7
01/08/11,57.3
01/09/11,56
01/10/11,56.8
01/11/11,48.2
01/12/11,45.9
01/13/11,50.4
01/14/11,54.7
01/15/11,51.1
01/16/11,44.3
01/17/11,39
01/18/11,34.6
01/19/11,32.1
01/20/11,27.7
01/21/11,24.6
01/22/11,22
01/23/11,19.8
01/24/11,18.9
01/25/11,18.4
01/26/11,22
01/27/11,21.3
01/28/11,17.8
01/29/11,15.6
01/30/11,14.4
01/31/11,13.4
02/01/11,12.7
02/02/11,12
02/03/11,12
02/04/11,12.5
02/05/11,14.3
02/06/11,13.7
02/07/11,12.7
02/08/11,12.2
02/09/11,11.7
02/10/11,11.4
02/11/11,11.7
02/12/11,11.1
02/13/11,12.4
02/14/11,11.1
02/15/11,11.7
02/16/11,11.2
02/17/11,10.3
02/18/11,9.74
02/19/11,9.38
02/20/11,9.27
02/21/11,9.57
02/22/11,9.12
02/23/11,8.28
02/24/11,8.75
02/25/11,9.39
02/26/11,9.15
02/27/11,15
02/28/11,13.3
03/01/11,11.4
03/02/11,10.3
03/03/11,9.58
03/04/11,9.21
03/05/11,8.88
03/06/11,8.51
03/07/11,8.14
03/08/11,8.08
03/09/11,7.98
03/10/11,7.78
03/11/11,7.61
03/12/11,7.36
03/13/11,7.79
03/14/11,8.32
03/15/11,7.59
03/16/11,7.05
03/17/11,7.7
03/18/11,7.59
03/19/11,11.4
03/20/11,8.81
03/21/11,7.58
03/22/11,7.02
03/23/11,6.68
03/24/11,6.56
03/25/11,6.43
03/26/11,6.3
03/27/11,6.88
03/28/11,7.61
03/29/11,6.76
03/30/11,6.54
03/31/11,7.6
04/01/11,7.86
04/02/11,6.92
04/03/11,6.38
04/04/11,9.69
04/05/11,8.01
04/06/11,7.16
04/07/11,6.57
04/08/11,6.21
04/09/11,5.93
04/10/11,5.69
04/11/11,5.71
04/12/11,5.88
04/13/11,5.97
04/14/11,5.65
04/15/11,5.36
04/16/11,5.15
04/17/11,5.06
04/18/11,4.97
04/19/11,4.93
04/20/11,4.84
04/21/11,4.75
04/22/11,4.63
04/23/11,4.7
04/24/11,6.33
04/25/11,5.22
04/26/11,4.56
04/27/11,4.59
04/28/11,5.14
04/29/11,5.3
04/30/11,5.19
05/01/11,4.78
05/02/11,4.37
05/03/11,4.33
05/04/11,4.16
05/05/11,3.9
05/06/11,3.83
05/07/11,3.82
05/08/11,3.67
05/09/11,3.5
05/10/11,3.37
05/11/11,3.72
05/12/11,4.72
05/13/11,4.19
05/14/11,3.59
05/15/11,3.66
05/16/11,3.85
05/17/11,3.62
05/18/11,3.45
05/19/11,3.43
05/20/11,4.2
05/21/11,3.92
05/22/11,3.36
05/23/11,3.19
05/24/11,3.04
05/25/11,2.84
05/26/11,2.91
05/27/11,3.04
05/28/11,2.99
05/29/11,2.87
05/30/11,2.79
05/31/11,2.94
06/01/11,4.79
06/02/11,3.61
06/03/11,3.1
06/04/11,2.9
06/05/11,3.34
06/06/11,3.62
06/07/11,4.58
06/08/11,9.46
06/09/11,5.29
06/10/11,4.07
06/11/11,3.69
06/12/11,3.3
06/13/11,3.17
06/14/11,3.32
06/15/11,4.01
06/16/11,3.91
06/17/11,4.73
06/18/11,9.38
06/19/11,8.93
06/20/11,6.93
06/21/11,5.5
06/22/11,8.14
06/23/11,7.92
06/24/11,5.62
06/25/11,4.66
06/26/11,4.38
06/27/11,4.12
06/28/11,3.85
06/29/11,7.61
06/30/11,10.2
07/01/11,5.43
07/02/11,4.54
07/03/11,4.14
07/04/11,3.94
07/05/11,3.83
07/06/11,3.65
07/07/11,3.96
07/08/11,5.92
07/09/11,4.01
07/10/11,4.17
07/11/11,4.65
07/12/11,3.79
07/13/11,9.07
07/14/11,9.73
07/15/11,5.7
07/16/11,4.68
07/17/11,5.97
07/18/11,5.8
07/19/11,5.36
07/20/11,7.28
07/21/11,7.41
07/22/11,8.26
07/23/11,7.81
07/24/11,8.63
07/25/11,6.87
07/26/11,8.54
07/27/11,8.69
07/28/11,7.56
07/29/11,6.62
07/30/11,5.96
07/31/11,5.57
08/01/11,5.42
08/02/11,5.11
08/03/11,4.88
08/04/11,4.95
08/05/11,5.56
08/06/11,6.92
08/07/11,32.8
08/08/11,14.3
08/09/11,12.5
08/10/11,10.7
08/11/11,8.48
08/12/11,7.46
08/13/11,7.56
08/14/11,8.64
08/15/11,12.8
08/16/11,9.04
08/17/11,7.24
08/18/11,6.65
08/19/11,6.08
08/20/11,5.68
08/21/11,5.33
08/22/11,5.09
08/23/11,4.8
08/24/11,5.74
08/25/11,5.37
08/26/11,6.69
08/27/11,14
08/28/11,9.01
08/29/11,6.24
08/30/11,5.76
08/31/11,5.54
09/01/11,5.14
09/02/11,5.08
09/03/11,4.72
09/04/11,5.06
09/05/11,5.46
09/06/11,4.73
09/07/11,5.03
09/08/11,5.28
09/09/11,5.01
09/10/11,4.87
09/11/11,4.58
09/12/11,5.06
09/13/11,4.56
09/14/11,4.61
09/15/11,4.33
09/16/11,4.12
09/17/11,4.19
09/18/11,5.61
09/19/11,5.56
09/20/11,5.03
09/21/11,4.44
09/22/11,4.14
09/23/11,4.05
