date,dV
01/01/16,4.52
01/02/16,4.73
01/03/16,4.98
01/04/16,9.39
01/05/16,9.84
01/06/16,13.6
01/07/16,14.5
01/08/16,15.2
01/09/16,12.8
01/10/16,15
01/11/16,28.6
01/12/16,41
01/13/16,42
01/14/16,31.8
01/15/16,27.2
01/16/16,22.8
01/17/16,19.3
01/18/16,16.5
01/19/16,14.8
01/20/16,13.4
01/21/16,11.9
01/22/16,10.7
01/23/16,13.7
01/24/16,13.6
01/25/16,13.7
01/26/16,13.3
01/27/16,14.4
01/28/16,16.4
01/29/16,21.7
01/30/16,21.4
01/31/16,51.2
02/01/16,53
02/02/16,44.8
02/03/16,43.4
02/04/16,40.5
02/05/16,46.1
02/06/16,39.1
02/07/16,42.7
02/08/16,41.4
02/09/16,55.6
02/10/16,71.7
02/11/16,55.7
02/12/16,46.6
02/13/16,43.7
02/14/16,49.8
02/15/16,44
02/16/16,37.4
02/17/16,33.3
02/18/16,29.7
02/19/16,26.8
02/20/16,26.1
02/21/16,28
02/22/16,26.1
02/23/16,33.6
02/24/16,32.4
02/25/16,31.3
02/26/16,28.2
02/27/16,25.6
02/28/16,23.5
02/29/16,21
03/01/16,19
03/02/16,23.8
03/03/16,30.6
03/04/16,30.8
03/05/16,40.9
03/06/16,43.2
03/07/16,38.4
03/08/16,33.9
03/09/16,30
03/10/16,27.5
03/11/16,24.9
03/12/16,22.8
03/13/16,21.2
03/14/16,20.1
03/15/16,18.9
03/16/16,18.1
03/17/16,16.8
03/18/16,15.8
03/19/16,14.8
03/20/16,14.3
03/21/16,13.7
03/22/16,13.1
03/23/16,12.7
03/24/16,12.1
03/25/16,13.3
03/26/16,13.7
03/27/16,13
03/28/16,13.4
03/29/16,16.7
03/30/16,17.4
03/31/16,17
04/01/16,15.9
04/02/16,14.6
04/03/16,14
04/04/16,14.8
04/05/16,18.6
04/06/16,20.7
04/07/16,17.2
04/08/16,15.6
04/09/16,14.4
04/10/16,13.6
04/11/16,13.9
04/12/16,15.2
04/13/16,15.2
04/14/16,14.4
04/15/16,17.9
04/16/16,44.5
04/17/16,64.8
04/18/16,49.2
04/19/16,40
04/20/16,33.6
04/21/16,28.8
04/22/16,25.3
04/23/16,25.1
04/24/16,23.6
04/25/16,21.9
04/26/16,27
04/27/16,26.1
04/28/16,21.8
04/29/16,19.4
04/30/16,19.1
05/01/16,40.5
05/02/16,35.9
05/03/16,33.1
05/04/16,30.3
05/05/16,26.1
05/06/16,23.6
05/07/16,21.1
05/08/16,19
05/09/16,17.1
05/10/16,19.1
05/11/16,17.4
05/12/16,31.2
05/13/16,26.7
05/14/16,21.5
05/15/16,18.6
05/16/16,19.1
05/17/16,19.4
05/18/16,16.5
05/19/16,22.5
05/20/16,16.9
05/21/16,14.6
05/22/16,13.5
05/23/16,25.9
05/24/16,22.6
05/25/16,19.3
05/26/16,17.2
05/27/16,15.8
05/28/16,14.7
05/29/16,19.1
05/30/16,25.9
05/31/16,25
06/01/16,20.1
06/02/16,31.7
06/03/16,31.2
06/04/16,52.9
06/05/16,43.9
06/06/16,41.8
06/07/16,37.6
06/08/16,33
06/09/16,32.3
06/10/16,25.4
06/11/16,24.1
06/12/16,26.1
06/13/16,29
06/14/16,40.3
06/15/16,47.5
06/16/16,41.3
06/17/16,43.8
06/18/16,37.9
06/19/16,35.5
06/20/16,30.5
06/21/16,31.3
06/22/16,25.8
06/23/16,22.3
06/24/16,19.8
06/25/16,64.3
06/26/16,43
06/27/16,33.2
06/28/16,29.1
06/29/16,25.3
06/30/16,22
07/01/16,19.5
07/02/16,18.8
07/03/16,16.8
07/04/16,14.9
07/05/16,13.6
07/06/16,12.3
07/07/16,11.1
07/08/16,10.4
07/09/16,9.6
07/10/16,9.01
07/11/16,9.05
07/12/16,8.91
07/13/16,12.5
07/14/16,12.4
07/15/16,9.58
07/16/16,8.15
07/17/16,7.26
07/18/16,6.64
07/19/16,6.28
07/20/16,5.97
07/21/16,6.2
07/22/16,6.39
07/23/16,7.34
07/24/16,7.22
07/25/16,6.2
07/26/16,5.62
07/27/16,5.3
07/28/16,5.09
07/29/16,5.41
07/30/16,4.92
07/31/16,4.74
08/01/16,4.73
08/02/16,4.6
08/03/16,4.72
08/04/16,5.01
08/05/16,7.4
08/06/16,5.91
08/07/16,4.74
08/08/16,4.46
08/09/16,4.41
