date,dV
01/01/15,12.7
01/02/15,17.3
01/03/15,34
01/04/15,67.2
01/05/15,47.8
01/06/15,37.8
01/07/15,32.3
01/08/15,28.8
01/09/15,29.5
01/10/15,32
01/11/15,54.7
01/12/15,40.1
01/13/15,34.7
01/14/15,39.7
01/15/15,38
01/16/15,53.2
01/17/15,72.4
01/18/15,58.5
01/19/15,49
01/20/15,42.4
01/21/15,35.8
01/22/15,30.6
01/23/15,26.3
01/24/15,23.6
01/25/15,21.6
01/26/15,21
01/27/15,26.2
01/28/15,23
01/29/15,26.1
01/30/15,31.5
01/31/15,26.2
02/01/15,23.3
02/02/15,22.1
02/03/15,19.8
02/04/15,17.6
02/05/15,15.9
02/06/15,14.7
02/07/15,13.5
02/08/15,12.9
02/09/15,12.2
02/10/15,12.4
02/11/15,12.4
02/12/15,12.5
02/13/15,12.5
02/14/15,15
02/15/15,17.5
02/16/15,16
02/17/15,15
02/18/15,14.2
02/19/15,13.6
02/20/15,13.3
02/21/15,15.5
02/22/15,14.9
02/23/15,19.8
02/24/15,25.8
02/25/15,20.8
02/26/15,18.7
02/27/15,26.7
02/28/15,25.6
03/01/15,24.2
03/02/15,37.4
03/03/15,35.5
03/04/15,33.6
03/05/15,28.6
03/06/15,25.3
03/07/15,23.2
03/08/15,21.2
03/09/15,19.7
03/10/15,18.3
03/11/15,17.5
03/12/15,16.3
03/13/15,15.4
03/14/15,14.7
03/15/15,13.9
03/16/15,13.3
03/17/15,12.6
03/18/15,12.1
03/19/15,11.9
03/20/15,11.6
03/21/15,11.1
03/22/15,10.8
03/23/15,10.4
03/24/15,10.1
03/25/15,10.1
03/26/15,10.6
03/27/15,9.88
03/28/15,9.02
03/29/15,11.1
03/30/15,37.7
03/31/15,28.3
04/01/15,27.7
04/02/15,36.2
04/03/15,35.9
04/04/15,38.5
04/05/15,36.6
04/06/15,29.4
04/07/15,25.6
04/08/15,22.4
04/09/15,20.3
04/10/15,18.3
04/11/15,16.8
04/12/15,15.6
04/13/15,14.3
04/14/15,13.2
04/15/15,11.8
04/16/15,11.1
04/17/15,12
04/18/15,12.7
04/19/15,10.1
04/20/15,9.22
04/21/15,8.61
04/22/15,8.06
04/23/15,7.8
04/24/15,7.49
04/25/15,7.32
04/26/15,7.58
04/27/15,9.06
