,Q,W
2017/04/08 15:00,7,71.1219512195
2017/04/08 16:00,7,71.6097560976
2017/04/08 17:00,7,72
2017/04/08 18:00,7,72
2017/04/08 19:00,7,71.4444444444
2017/04/08 20:00,7,71.1428571429
2017/04/08 21:00,7,71.8571428571
2017/04/08 22:00,7,72
2017/04/08 23:00,7,72
2017/04/09 00:00,7,71.8405797101
2017/04/09 01:00,7,71.5507246377
2017/04/09 02:00,7,71.2608695652
2017/04/09 03:00,7,71.0869565217
2017/04/09 04:00,7,71.9565217391
2017/04/09 05:00,7,72
2017/04/09 06:00,7,72
2017/04/09 07:00,7,72.05
2017/04/09 08:00,7,72.55
2017/04/09 09:00,7,74
2017/04/09 10:00,7,76
2017/04/09 11:00,6,76
2017/04/09 12:00,6,76
2017/04/09 13:00,6,75.4237288136
2017/04/09 14:00,6,74.7457627119
2017/04/09 15:00,6,74.0677966102
2017/04/09 16:00,6,72.7021276596
2017/04/09 17:00,6,72.2765957447
2017/04/09 18:00,6,71.6956521739
2017/04/09 19:00,6,71
2017/04/09 20:00,6,72
2017/04/09 21:00,6,71.2857142857
2017/04/09 22:00,6,70.52
2017/04/09 23:00,6,70.5384615385
2017/04/10 00:00,6,70.5625
2017/04/10 01:00,6,70.0869565217
2017/04/10 02:00,6,70.9565217391
2017/04/10 03:00,6,70.1363636364
2017/04/10 04:00,6,71
2017/04/10 05:00,6,71
2017/04/10 06:00,6,71
2017/04/10 07:00,7,70.2307692308
2017/04/10 08:00,7,70
2017/04/10 09:00,6,71
2017/04/10 10:00,6,70.6341463415
2017/04/10 11:00,6,70.1463414634
2017/04/10 12:00,6,70.1971830986
2017/04/10 13:00,6,70.4788732394
2017/04/10 14:00,6,70.7605633803
2017/04/10 15:00,6,70.8965517241
2017/04/10 16:00,6,70.2068965517
2017/04/10 17:00,6,70.3684210526
2017/04/10 18:00,6,70.8947368421
2017/04/10 19:00,6,70.8048780488
2017/04/10 20:00,6,70.5609756098
2017/04/10 21:00,6,70.3170731707
2017/04/10 22:00,6,70.0731707317
2017/04/10 23:00,6,70.8823529412
2017/04/11 00:00,6,70.2941176471
2017/04/11 01:00,6,70
2017/04/11 02:00,6,70
2017/04/11 03:00,6,70
2017/04/11 04:00,6,70
2017/04/11 05:00,6,67.25
2017/04/11 06:00,6,66.4242424242
2017/04/11 07:00,6,66.9
2017/04/11 08:00,6,69.1578947368
2017/04/11 09:00,6,69.6842105263
2017/04/11 10:00,6,70.4210526316
2017/04/11 11:00,6,71.9
2017/04/11 12:00,6,73.9
2017/04/11 13:00,6,71.9655172414
2017/04/11 14:00,6,71.275862069
2017/04/11 15:00,6,70.5714285714
2017/04/11 16:00,6,69.8571428571
2017/04/11 17:00,6,69.1428571429
2017/04/11 18:00,6,69
2017/04/11 19:00,6,69.1764705882
2017/04/11 20:00,6,70
2017/04/11 21:00,6,70
2017/04/11 22:00,6,70
2017/04/11 23:00,6,70
2017/04/12 00:00,6,70
2017/04/12 01:00,6,70
2017/04/12 02:00,6,70
2017/04/12 03:00,6,70
2017/04/12 04:00,6,70.6666666667
2017/04/12 05:00,6,71.8787878788
2017/04/12 06:00,6,72.75
2017/04/12 07:00,5,73
2017/04/12 08:00,5,67.6
2017/04/12 09:00,6,66.6153846154
2017/04/12 10:00,6,69
2017/04/12 11:00,6,71
2017/04/12 12:00,6,68.5454545455
2017/04/12 13:00,6,70
2017/04/12 14:00,6,70
2017/04/12 15:00,6,71
2017/04/12 16:00,5,65.8
2017/04/12 17:00,6,65.4615384615
2017/04/12 18:00,6,71.44
2017/04/12 19:00,6,72
2017/04/12 20:00,6,72
2017/04/12 21:00,6,72
2017/04/12 22:00,6,72
2017/04/12 23:00,6,71.3913043478
2017/04/13 00:00,6,69.9523809524
2017/04/13 01:00,6,66.7777777778
2017/04/13 02:00,6,63.6666666667
2017/04/13 03:00,6,63.3783783784
2017/04/13 04:00,6,63.9189189189
2017/04/13 05:00,6,68.3333333333
2017/04/13 06:00,7,73.125
2017/04/13 07:00,6,71
2017/04/13 08:00,5,70.8
2017/04/13 09:00,5,71
2017/04/13 10:00,6,67
2017/04/13 11:00,6,69
2017/04/13 12:00,7,69
2017/04/13 13:00,6,69.5384615385
2017/04/13 14:00,6,67.875
2017/04/13 15:00,6,65.4285714286
2017/04/13 16:00,6,64.2857142857
2017/04/13 17:00,5,62.75
2017/04/13 18:00,5,63.6923076923
2017/04/13 19:00,5,68.625
2017/04/13 20:00,5,67.696969697
2017/04/13 21:00,5,67.0909090909
2017/04/13 22:00,5,66.2608695652
2017/04/13 23:00,5,66
2017/04/14 00:00,5,66
2017/04/14 01:00,5,66
2017/04/14 02:00,6,68.6666666667
2017/04/14 03:00,6,70.84
2017/04/14 04:00,5,70.04
2017/04/14 05:00,5,68.2727272727
2017/04/14 06:00,5,67
2017/04/14 07:00,5,67.8
2017/04/14 08:00,5,68.6
2017/04/14 09:00,6,69.5882352941
2017/04/14 10:00,6,71.85
2017/04/14 11:00,5,70.1
2017/04/14 12:00,5,69.6666666667
2017/04/14 13:00,6,67.6666666667
2017/04/14 14:00,5,69
2017/04/14 15:00,6,69
2017/04/14 16:00,6,69
2017/04/14 17:00,6,67
2017/04/14 18:00,6,70.6666666667
2017/04/14 19:00,5,69
2017/04/14 20:00,5,66.6666666667
2017/04/14 21:00,5,68
2017/04/14 22:00,6,69
2017/04/14 23:00,5,66
2017/04/15 00:00,5,68
2017/04/15 01:00,5,68.3333333333
2017/04/15 02:00,5,66
2017/04/15 03:00,5,68.5
2017/04/15 04:00,5,70
2017/04/15 05:00,5,70
2017/04/15 06:00,5,71
2017/04/15 07:00,5,71
2017/04/15 08:00,5,71
2017/04/15 09:00,5,71
2017/04/15 10:00,5,71
2017/04/15 11:00,5,71
2017/04/15 12:00,5,71
2017/04/15 13:00,5,71
2017/04/15 14:00,5,71
2017/04/15 15:00,5,71
2017/04/15 16:00,5,71
2017/04/15 17:00,5,71
2017/04/15 18:00,5,71
2017/04/15 19:00,5,71
2017/04/15 20:00,5,71
2017/04/15 21:00,5,71
2017/04/15 22:00,5,71
2017/04/15 23:00,5,70.8780487805
2017/04/16 00:00,6,70.6341463415
2017/04/16 01:00,6,70.3902439024
2017/04/16 02:00,6,70.1463414634
2017/04/16 03:00,6,70
2017/04/16 04:00,6,70
2017/04/16 05:00,6,70
2017/04/16 06:00,6,70.8888888889
2017/04/16 07:00,6,70.4444444444
2017/04/16 08:00,6,72.1935483871
2017/04/16 09:00,6,72.8387096774
2017/04/16 10:00,6,75.5
2017/04/16 11:00,6,78
2017/04/16 12:00,6,78
2017/04/16 13:00,6,76.1
2017/04/16 14:00,6,75.9583333333
2017/04/16 15:00,6,75.125
2017/04/16 16:00,6,75.7368421053
2017/04/16 17:00,6,74.6842105263
2017/04/16 18:00,6,74
2017/04/16 19:00,6,74
2017/04/16 20:00,6,74
2017/04/16 21:00,6,73.375
2017/04/16 22:00,6,73
2017/04/16 23:00,6,73
2017/04/17 00:00,6,73.15
2017/04/17 01:00,6,73.65
2017/04/17 02:00,6,74.0631578947
2017/04/17 03:00,6,74.2736842105
2017/04/17 04:00,6,74.4842105263
2017/04/17 05:00,6,74.6947368421
2017/04/17 06:00,6,74.9052631579
2017/04/17 07:00,6,76.5714285714
2017/04/17 08:00,6,78.1612903226
2017/04/17 09:00,6,78.4838709677
2017/04/17 10:00,6,78.8064516129
2017/04/17 11:00,6,78.7288135593
2017/04/17 12:00,6,78.0508474576
2017/04/17 13:00,6,77.3728813559
2017/04/17 14:00,6,74.4285714286
2017/04/17 15:00,6,70.7777777778
2017/04/17 16:00,6,69.2962962963
2017/04/17 17:00,7,69
2017/04/17 18:00,7,69
2017/04/17 19:00,8,69.8333333333
2017/04/17 20:00,9,71.6666666667
2017/04/17 21:00,8,72.1363636364
2017/04/17 22:00,8,72.5909090909
2017/04/17 23:00,8,73
2017/04/18 00:00,7,73
2017/04/18 01:00,7,72.7307692308
2017/04/18 02:00,8,71.9615384615
2017/04/18 03:00,8,71.1923076923
2017/04/18 04:00,7,71
2017/04/18 05:00,7,71
2017/04/18 06:00,7,71.9696969697
2017/04/18 07:00,7,71.3636363636
2017/04/18 08:00,7,70.6666666667
2017/04/18 09:00,6,71
2017/04/18 10:00,6,70
2017/04/18 11:00,7,70
2017/04/18 12:00,7,70
2017/04/18 13:00,7,70.1304347826
2017/04/18 14:00,7,71
2017/04/18 15:00,6,72.5384615385
2017/04/18 16:00,6,73.8181818182
2017/04/18 17:00,6,71.0909090909
2017/04/18 18:00,6,69.1578947368
2017/04/18 19:00,6,68.5294117647
2017/04/18 20:00,5,70
2017/04/18 21:00,6,70.8571428571
2017/04/18 22:00,6,69.6
2017/04/18 23:00,6,69
2017/04/19 00:00,6,69
2017/04/19 01:00,6,69
2017/04/19 02:00,6,69
2017/04/19 03:00,6,69
2017/04/19 04:00,6,69
2017/04/19 05:00,6,69.8125
2017/04/19 06:00,6,69
2017/04/19 07:00,6,68
2017/04/19 08:00,6,68
2017/04/19 09:00,6,68
2017/04/19 10:00,6,68
2017/04/19 11:00,6,68
2017/04/19 12:00,6,68
2017/04/19 13:00,6,68
2017/04/19 14:00,5,68
2017/04/19 15:00,5,68
2017/04/19 16:00,5,68
2017/04/19 17:00,6,68
2017/04/19 18:00,6,68
2017/04/19 19:00,6,68
2017/04/19 20:00,6,68
2017/04/19 21:00,6,68
2017/04/19 22:00,6,68
2017/04/19 23:00,6,68
2017/04/20 00:00,6,67.8266666667
2017/04/20 01:00,6,67.56
2017/04/20 02:00,5,67.2933333333
2017/04/20 03:00,5,67.0266666667
2017/04/20 04:00,5,66.28
2017/04/20 05:00,5,66
2017/04/20 06:00,5,66
2017/04/20 07:00,5,66.5
2017/04/20 08:00,5,66.5384615385
2017/04/20 09:00,5,66.619047619
2017/04/20 10:00,5,67
2017/04/20 11:00,5,67
2017/04/20 12:00,5,67
2017/04/20 13:00,5,67
2017/04/20 14:00,5,66.8666666667
2017/04/20 15:00,5,66.6363636364
2017/04/20 16:00,5,67
2017/04/20 17:00,5,67
2017/04/20 18:00,5,67
2017/04/20 19:00,5,67
2017/04/20 20:00,5,67
2017/04/20 21:00,5,67
2017/04/20 22:00,5,67
2017/04/20 23:00,5,67
2017/04/21 00:00,5,67
2017/04/21 01:00,5,67
2017/04/21 02:00,5,66.7857142857
2017/04/21 03:00,5,66.3095238095
2017/04/21 04:00,5,66.2333333333
2017/04/21 05:00,5,66.9
2017/04/21 06:00,5,67
2017/04/21 07:00,5,67
2017/04/21 08:00,5,67
2017/04/21 09:00,5,67
2017/04/21 10:00,5,67
2017/04/21 11:00,5,67
2017/04/21 12:00,4,67.5185185185
2017/04/21 13:00,4,69
2017/04/21 14:00,5,68.4444444444
2017/04/21 15:00,5,67.8
2017/04/21 16:00,5,67
2017/04/21 17:00,5,67
2017/04/21 18:00,5,67.3287671233
2017/04/21 19:00,5,67.8767123288
2017/04/21 20:00,5,68.4246575342
2017/04/21 21:00,5,68.9726027397
2017/04/21 22:00,5,69
2017/04/21 23:00,5,68.0434782609
2017/04/22 00:00,5,66.7419354839
2017/04/22 01:00,5,66.0967741935
2017/04/22 02:00,5,66
2017/04/22 03:00,5,66
2017/04/22 04:00,5,66
2017/04/22 05:00,5,66
2017/04/22 06:00,5,66
2017/04/22 07:00,5,66
2017/04/22 08:00,5,66
2017/04/22 09:00,5,65
2017/04/22 10:00,5,65
2017/04/22 11:00,5,65.1929824561
2017/04/22 12:00,5,65.5438596491
2017/04/22 13:00,5,65.8947368421
2017/04/22 14:00,5,66
2017/04/22 15:00,5,66
2017/04/22 16:00,5,66
2017/04/22 17:00,5,66
2017/04/22 18:00,5,66
2017/04/22 19:00,5,66
2017/04/22 20:00,5,66
2017/04/22 21:00,5,66.0625
2017/04/22 22:00,5,66.1666666667
2017/04/22 23:00,5,66.2708333333
2017/04/23 00:00,5,66.375
2017/04/23 01:00,5,66.4791666667
2017/04/23 02:00,5,66.5833333333
2017/04/23 03:00,5,66.6875
2017/04/23 04:00,5,66.7916666667
2017/04/23 05:00,5,66.8958333333
2017/04/23 06:00,5,67
2017/04/23 07:00,5,66
2017/04/23 08:00,5,66.75
2017/04/23 09:00,5,66.9523809524
2017/04/23 10:00,5,66
2017/04/23 11:00,5,66
2017/04/23 12:00,5,65
2017/04/23 13:00,5,66
2017/04/23 14:00,4,65
2017/04/23 15:00,5,66
2017/04/23 16:00,5,67
2017/04/23 17:00,4,67
2017/04/23 18:00,5,66.6666666667
2017/04/23 19:00,5,66.46875
2017/04/23 20:00,5,66
2017/04/23 21:00,5,66
2017/04/23 22:00,5,66
2017/04/23 23:00,5,66
2017/04/24 00:00,5,65.9189189189
2017/04/24 01:00,5,65.3783783784
2017/04/24 02:00,5,65.6666666667
2017/04/24 03:00,5,66
2017/04/24 04:00,4,66
2017/04/24 05:00,5,66
2017/04/24 06:00,4,66
2017/04/24 07:00,4,65.7777777778
2017/04/24 08:00,5,64.65
2017/04/24 09:00,5,64
2017/04/24 10:00,5,66
2017/04/24 11:00,5,66
2017/04/24 12:00,5,66
2017/04/24 13:00,5,66.7826086957
2017/04/24 14:00,4,67
2017/04/24 15:00,4,67.6666666667
2017/04/24 16:00,4,68.5416666667
2017/04/24 17:00,4,69
2017/04/24 18:00,4,70
2017/04/24 19:00,4,70
2017/04/24 20:00,4,70.3404255319
2017/04/24 21:00,4,70.7659574468
2017/04/24 22:00,4,72.8
2017/04/24 23:00,4,73
2017/04/25 00:00,4,73
2017/04/25 01:00,4,73.6296296296
2017/04/25 02:00,4,74.3703703704
2017/04/25 03:00,4,75.0291262136
2017/04/25 04:00,4,75.2233009709
2017/04/25 05:00,4,75.4174757282
2017/04/25 06:00,4,75.6116504854
2017/04/25 07:00,4,75.8058252427
2017/04/25 08:00,4,76
2017/04/25 09:00,4,76
2017/04/25 10:00,4,76
2017/04/25 11:00,4,76
2017/04/25 12:00,4,76
2017/04/25 13:00,4,78.7058823529
2017/04/25 14:00,4,73.8918918919
2017/04/25 15:00,4,73.3513513514
